expression,desc,sharpe,fitness,turnover,sub_sharpe,returns,drawdown,margin,self_corr,settings
"ts_decay_linear(group_neutralize(ts_rank(news_post_vwap, 105) / (ts_std_dev(rp_css_business, 105) + 0.001), subindustry), 60)","",-0.67,-0.22,0.6818,-0.34,-0.0748,0.4356,-0.000219,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(mdl77_historicalgrowthfactor_susgrowth, 252) / (ts_std_dev(anl4_rd_exp_median, 252) + 0.001), subindustry), 45)","",0.15,0.04,0.0224,-0.01,0.0103,0.127,0.000919,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(est_shequity, 180) / (ts_std_dev(mdl177_historicalgrowthmodel_slope4qsales3y, 180) + 0.001), subindustry), 35)","",0.14,0.05,0.0628,0.24,0.0167,0.481,0.000533,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(fnd6_dilavx, anl4_netprofita_low, 150, rettype=2), subindustry), 28)","",-0.03,-0.0,0.0432,1.02,-0.0026,0.2445,-0.000122,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_regression(mdl177_fangma_mam_usa_fangma_mam5, fnd6_newqv1300_tfvceq, 220, rettype=2), subindustry), 25)","",0.71,0.79,0.0304,-0.13,0.1537,0.313,0.010116,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(mdl77_2earningmomentumfactor400_stockrating, 100) / (ts_std_dev(fnd6_newa2v1300_txdb, 100) + 0.001), subindustry), 40)","",0.11,0.02,0.0391,0.46,0.0036,0.1004,0.000184,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(anl4_ebitda_flag, 240) / (ts_std_dev(mdl177_2_pricemomentumfactor_indrelrtn5d_, 240) + 0.001), subindustry), 55)","",0.8,0.82,0.0357,0.28,0.131,0.2661,0.007346,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fnd6_newa1v1300_ivncf, 190) / (ts_std_dev(anl4_rd_exp_median, 190) + 0.001), subindustry), 38)","",0.08,0.02,0.0221,-0.35,0.005,0.1281,0.000455,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(anl4_netprofita_low, 175) / (ts_std_dev(fnd6_dilavx, 175) + 0.001), subindustry), 42)","",-0.35,-0.12,0.036,0.68,-0.0139,0.1383,-0.000774,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(fnd6_newa2v1300_txdb, 215) / (ts_std_dev(mdl177_fangma_mam_usa_fangma_mam5, 215) + 0.001), subindustry), 47)","",-0.98,-0.89,0.0292,-0.23,-0.1036,0.531,-0.007084,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
"ts_decay_linear(group_neutralize(ts_rank(rp_css_earnings, 200) / (ts_std_dev(rp_ess_equity, 200) + 0.001), subindustry), 55)","",-0.71,-0.15,1.294,-0.63,-0.0598,0.3415,-9.2e-05,0.0,"{'instrumentType': 'EQUITY', 'region': 'USA', 'universe': 'TOP3000', 'delay': 1, 'decay': 0, 'neutralization': 'SUBINDUSTRY', 'truncation': 0.08, 'pasteurization': 'ON', 'unitHandling': 'VERIFY', 'nanHandling': 'OFF', 'language': 'FASTEXPR', 'visualization': False}"
